//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-15-2025
//--  Time: 20:38
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 4700 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 44864 Ohms 
//--    Temperature2: 0.0(C), 	Resistance 2: 5784 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 186.6 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
204	103.70	1037 	0.996
205	103.39	1034 	1.001
206	103.09	1031 	1.006
207	102.78	1028 	1.011
208	102.48	1025 	1.016
209	102.18	1022 	1.021
210	101.87	1019 	1.025
211	101.57	1016 	1.030
212	101.28	1013 	1.035
213	100.98	1010 	1.040
214	100.68	1007 	1.045
215	100.39	1004 	1.050
216	100.10	1001 	1.055
217	99.80	998 	1.060
218	99.51	995 	1.064
219	99.22	992 	1.069
220	98.93	989 	1.074
221	98.65	986 	1.079
222	98.36	984 	1.084
223	98.08	981 	1.089
224	97.79	978 	1.094
225	97.51	975 	1.099
226	97.23	972 	1.104
227	96.95	969 	1.108
228	96.67	967 	1.113
229	96.39	964 	1.118
230	96.12	961 	1.123
231	95.84	958 	1.128
232	95.56	956 	1.133
233	95.29	953 	1.138
234	95.02	950 	1.143
235	94.75	947 	1.147
236	94.48	945 	1.152
237	94.21	942 	1.157
238	93.94	939 	1.162
239	93.67	937 	1.167
240	93.41	934 	1.172
241	93.14	931 	1.177
242	92.88	929 	1.182
243	92.61	926 	1.187
244	92.35	923 	1.191
245	92.09	921 	1.196
246	91.83	918 	1.201
247	91.57	916 	1.206
248	91.31	913 	1.211
249	91.05	911 	1.216
250	90.79	908 	1.221
251	90.54	905 	1.226
252	90.28	903 	1.230
253	90.03	900 	1.235
254	89.78	898 	1.240
255	89.52	895 	1.245
256	89.27	893 	1.250
257	89.02	890 	1.255
258	88.77	888 	1.260
259	88.52	885 	1.265
260	88.27	883 	1.270
261	88.03	880 	1.274
262	87.78	878 	1.279
263	87.53	875 	1.284
264	87.29	873 	1.289
265	87.04	870 	1.294
266	86.80	868 	1.299
267	86.56	866 	1.304
268	86.32	863 	1.309
269	86.08	861 	1.313
270	85.83	858 	1.318
271	85.60	856 	1.323
272	85.36	854 	1.328
273	85.12	851 	1.333
274	84.88	849 	1.338
275	84.64	846 	1.343
276	84.41	844 	1.348
277	84.17	842 	1.353
278	83.94	839 	1.357
279	83.70	837 	1.362
280	83.47	835 	1.367
281	83.24	832 	1.372
282	83.01	830 	1.377
283	82.78	828 	1.382
284	82.55	825 	1.387
285	82.32	823 	1.392
286	82.09	821 	1.396
287	81.86	819 	1.401
288	81.63	816 	1.406
289	81.40	814 	1.411
290	81.18	812 	1.416
291	80.95	810 	1.421
292	80.73	807 	1.426
293	80.50	805 	1.431
294	80.28	803 	1.436
295	80.05	801 	1.440
296	79.83	798 	1.445
297	79.61	796 	1.450
298	79.39	794 	1.455
299	79.17	792 	1.460
300	78.95	789 	1.465
301	78.73	787 	1.470
302	78.51	785 	1.475
303	78.29	783 	1.479
304	78.07	781 	1.484
305	77.85	779 	1.489
306	77.64	776 	1.494
307	77.42	774 	1.499
308	77.20	772 	1.504
309	76.99	770 	1.509
310	76.77	768 	1.514
311	76.56	766 	1.519
312	76.35	763 	1.523
313	76.13	761 	1.528
314	75.92	759 	1.533
315	75.71	757 	1.538
316	75.50	755 	1.543
317	75.29	753 	1.548
318	75.08	751 	1.553
319	74.87	749 	1.558
320	74.66	747 	1.563
321	74.45	744 	1.567
322	74.24	742 	1.572
323	74.03	740 	1.577
324	73.82	738 	1.582
325	73.62	736 	1.587
326	73.41	734 	1.592
327	73.20	732 	1.597
328	73.00	730 	1.602
329	72.79	728 	1.606
330	72.59	726 	1.611
331	72.38	724 	1.616
332	72.18	722 	1.621
333	71.98	720 	1.626
334	71.77	718 	1.631
335	71.57	716 	1.636
336	71.37	714 	1.641
337	71.17	712 	1.646
338	70.97	710 	1.650
339	70.76	708 	1.655
340	70.56	706 	1.660
341	70.36	704 	1.665
342	70.17	702 	1.670
343	69.97	700 	1.675
344	69.77	698 	1.680
345	69.57	696 	1.685
346	69.37	694 	1.689
347	69.17	692 	1.694
348	68.98	690 	1.699
349	68.78	688 	1.704
350	68.58	686 	1.709
351	68.39	684 	1.714
